Chip Run Info,Z:\Projects\Reprogramming\Fluidigm Projects\BioMark Data\BioMark Data\BJ Monocistronic\Combined Chip Run BJ Monocistronic\ChipRun.bml,Combined Chip Run,96.96 (136x),GE 96x96 Fast v2,ROX,FAM-MGB,8/4/2014 4:56:26 PM,00:24:51,BIOMARKHD227
Application Version,4.1.2
Application Build,20140110.1735
Export Type,Table Results
Quality Threshold,0.4
Baseline Correction Method,Linear (Derivative)
Ct Threshold Method,Auto (Global)


Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,FAM-MGB,FAM-MGB,FAM-MGB,FAM-MGB,User
Chamber,Sample,Sample,Sample,FAM-MGB,FAM-MGB,Ct,Ct,Ct,Ct,Defined
ID,Name,Type,rConc,Name,Type,Value,Quality,Call,Threshold,Comments
S096-A90,MONO D14 SSEA4+ Tra1-60- 21,Unknown,1,KDR,Test,999,0,Fail,0.00740197595583316,
S096-A89,MONO D14 SSEA4+ Tra1-60- 21,Unknown,1,MASP1,Test,999,0,Fail,0.00740197595583316,
S096-A88,MONO D14 SSEA4+ Tra1-60- 21,Unknown,1,Eomes,Test,999,0,Fail,0.00740197595583316,
S096-A87,MONO D14 SSEA4+ Tra1-60- 21,Unknown,1,TDGF1,Test,999,0,Fail,0.00740197595583316,
S096-A86,MONO D14 SSEA4+ Tra1-60- 21,Unknown,1,KAT7 (Myst),Test,25.2554656601579,0.753307406180374,Pass,0.00740197595583316,
S096-A85,MONO D14 SSEA4+ Tra1-60- 21,Unknown,1,TET2,Test,999,0,Fail,0.00740197595583316,
S096-A96,MONO D14 SSEA4+ Tra1-60- 21,Unknown,1,GAPDH,Test,18.7126787740464,0.880514567202647,Pass,0.00740197595583316,
S096-A95,MONO D14 SSEA4+ Tra1-60- 21,Unknown,1,POU5F1,Test,999,0,Fail,0.00740197595583316,
S096-A94,MONO D14 SSEA4+ Tra1-60- 21,Unknown,1,LIN28A,Test,23.880769951131,0.92333234245942,Pass,0.00740197595583316,
S096-A93,MONO D14 SSEA4+ Tra1-60- 21,Unknown,1,ZIC3,Test,999,0,Fail,0.00740197595583316,
S096-A92,MONO D14 SSEA4+ Tra1-60- 21,Unknown,1,NANOG,Test,999,0,Fail,0.00740197595583316,
S096-A91,MONO D14 SSEA4+ Tra1-60- 21,Unknown,1,GDF3,Test,999,0,Fail,0.00740197595583316,
S006-A01,MONO D11 SSEA4+ Tra1-60- 22,Unknown,1,TET1,Test,999,0,Fail,0.00740197595583316,
S006-A02,MONO D11 SSEA4+ Tra1-60- 22,Unknown,1,PHC1,Test,999,0,Fail,0.00740197595583316,
S006-A03,MONO D11 SSEA4+ Tra1-60- 22,Unknown,1,MBD3,Test,999,0,Fail,0.00740197595583316,
S006-A04,MONO D11 SSEA4+ Tra1-60- 22,Unknown,1,SNAI2,Test,999,0,Fail,0.00740197595583316,
S006-A05,MONO D11 SSEA4+ Tra1-60- 22,Unknown,1,FOXD1,Test,999,0,Fail,0.00740197595583316,
S006-A06,MONO D11 SSEA4+ Tra1-60- 22,Unknown,1,FOSB,Test,999,0,Fail,0.00740197595583316,
S006-A07,MONO D11 SSEA4+ Tra1-60- 22,Unknown,1,CD44,Test,13.4436725504776,1,Pass,0.00740197595583316,
S006-A08,MONO D11 SSEA4+ Tra1-60- 22,Unknown,1,GABRB3,Test,999,0,Fail,0.00740197595583316,
S006-A09,MONO D11 SSEA4+ Tra1-60- 22,Unknown,1,SOX2,Test,999,0,Fail,0.00740197595583316,
S006-A10,MONO D11 SSEA4+ Tra1-60- 22,Unknown,1,ZNF281,Test,999,0,Fail,0.00740197595583316,
S006-A11,MONO D11 SSEA4+ Tra1-60- 22,Unknown,1,SP1,Test,999,0,Fail,0.00740197595583316,
S006-A12,MONO D11 SSEA4+ Tra1-60- 22,Unknown,1,LEFTY1,Test,999,0,Fail,0.00740197595583316,
S006-A13,MONO D11 SSEA4+ Tra1-60- 22,Unknown,1,SET,Test,19.1746816214362,1,Pass,0.00740197595583316,
S006-A14,MONO D11 SSEA4+ Tra1-60- 22,Unknown,1,CBX7,Test,999,0,Fail,0.00740197595583316,
S006-A15,MONO D11 SSEA4+ Tra1-60- 22,Unknown,1,UTF1,Test,999,0,Fail,0.00740197595583316,
S006-A16,MONO D11 SSEA4+ Tra1-60- 22,Unknown,1,CDH2 (NCAD),Test,999,0,Fail,0.00740197595583316,
S006-A17,MONO D11 SSEA4+ Tra1-60- 22,Unknown,1,HNF4A,Test,999,0,Fail,0.00740197595583316,
S006-A18,MONO D11 SSEA4+ Tra1-60- 22,Unknown,1,TGFBR2,Test,999,0,Fail,0.00740197595583316,
S006-A19,MONO D11 SSEA4+ Tra1-60- 22,Unknown,1,DUSP10,Test,999,0,Fail,0.00740197595583316,
S006-A20,MONO D11 SSEA4+ Tra1-60- 22,Unknown,1,ESRRB,Test,999,0,Fail,0.00740197595583316,
S006-A21,MONO D11 SSEA4+ Tra1-60- 22,Unknown,1,MYC,Test,17.7755182313343,0.596455798296772,Pass,0.00740197595583316,
S006-A22,MONO D11 SSEA4+ Tra1-60- 22,Unknown,1,ZFP42 (REX1),Test,999,0,Fail,0.00740197595583316,
S006-A23,MONO D11 SSEA4+ Tra1-60- 22,Unknown,1,TRIM28,Test,999,0,Fail,0.00740197595583316,
S006-A24,MONO D11 SSEA4+ Tra1-60- 22,Unknown,1,CD48,Test,999,0,Fail,0.00740197595583316,
S006-A25,MONO D11 SSEA4+ Tra1-60- 22,Unknown,1,CDKN1A,Test,999,0,Fail,0.00740197595583316,
