Chip Run Info,Z:\Projects\Reprogramming\Fluidigm Projects\BioMark Data\BioMark Data\BJ Monocistronic\Combined Chip Run BJ Monocistronic\ChipRun.bml,Combined Chip Run,96.96 (136x),GE 96x96 Fast v2,ROX,FAM-MGB,8/4/2014 4:56:26 PM,00:24:51,BIOMARKHD227
Application Version,4.1.2
Application Build,20140110.1735
Export Type,Table Results
Quality Threshold,0.4
Baseline Correction Method,Linear (Derivative)
Ct Threshold Method,Auto (Global)


Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,FAM-MGB,FAM-MGB,FAM-MGB,FAM-MGB,User
Chamber,Sample,Sample,Sample,FAM-MGB,FAM-MGB,Ct,Ct,Ct,Ct,Defined
ID,Name,Type,rConc,Name,Type,Value,Quality,Call,Threshold,Comments
S045-A52,MONO D21 SSEA4+ Tra1-60- 5,Unknown,1,LOX,Test,24.1959575724412,1,Pass,0.00740197595583316,
S045-A51,MONO D21 SSEA4+ Tra1-60- 5,Unknown,1,JARID2,Test,23.8719014919811,1,Pass,0.00740197595583316,
S045-A50,MONO D21 SSEA4+ Tra1-60- 5,Unknown,1,KDM5A,Test,26.1761236094051,0.970348621407506,Pass,0.00740197595583316,
S045-A49,MONO D21 SSEA4+ Tra1-60- 5,Unknown,1,DNMT3B,Test,999,0,Fail,0.00740197595583316,
S045-A60,MONO D21 SSEA4+ Tra1-60- 5,Unknown,1,PTPN6,Test,999,0,Fail,0.00740197595583316,
S045-A59,MONO D21 SSEA4+ Tra1-60- 5,Unknown,1,TCF3,Test,999,0,Fail,0.00740197595583316,
S045-A58,MONO D21 SSEA4+ Tra1-60- 5,Unknown,1,NR0B1(DAX1),Test,999,0,Fail,0.00740197595583316,
S045-A57,MONO D21 SSEA4+ Tra1-60- 5,Unknown,1,SALL1,Test,999,0,Fail,0.00740197595583316,
S045-A56,MONO D21 SSEA4+ Tra1-60- 5,Unknown,1,DPPA2,Test,999,0,Fail,0.00740197595583316,
S045-A55,MONO D21 SSEA4+ Tra1-60- 5,Unknown,1,Gata6,Test,999,0,Fail,0.00740197595583316,
S045-A66,MONO D21 SSEA4+ Tra1-60- 5,Unknown,1,SMAD4,Test,24.0360110946472,0.994997152632421,Pass,0.00740197595583316,
S045-A65,MONO D21 SSEA4+ Tra1-60- 5,Unknown,1,SOX13,Test,999,0,Fail,0.00740197595583316,
S045-A64,MONO D21 SSEA4+ Tra1-60- 5,Unknown,1,LUM,Test,18.9905035474013,0.971733453512528,Pass,0.00740197595583316,
S045-A63,MONO D21 SSEA4+ Tra1-60- 5,Unknown,1,HDAC2,Test,999,0,Fail,0.00740197595583316,
S045-A62,MONO D21 SSEA4+ Tra1-60- 5,Unknown,1,SETD1A,Test,999,0,Fail,0.00740197595583316,
S045-A61,MONO D21 SSEA4+ Tra1-60- 5,Unknown,1,USP16,Test,999,0,Fail,0.00740197595583316,
S045-A72,MONO D21 SSEA4+ Tra1-60- 5,Unknown,1,CCR7,Test,999,0,Fail,0.00740197595583316,
S045-A71,MONO D21 SSEA4+ Tra1-60- 5,Unknown,1,HESX1,Test,999,0,Fail,0.00740197595583316,
S045-A70,MONO D21 SSEA4+ Tra1-60- 5,Unknown,1,REST,Test,999,0,Fail,0.00740197595583316,
S045-A69,MONO D21 SSEA4+ Tra1-60- 5,Unknown,1,SALL4,Test,999,0,Fail,0.00740197595583316,
S045-A68,MONO D21 SSEA4+ Tra1-60- 5,Unknown,1,GAL,Test,999,0,Fail,0.00740197595583316,
S045-A67,MONO D21 SSEA4+ Tra1-60- 5,Unknown,1,SEMA6A,Test,999,0,Fail,0.00740197595583316,
S045-A78,MONO D21 SSEA4+ Tra1-60- 5,Unknown,1,DVL2,Test,26.54022041447,0.916503454329606,Pass,0.00740197595583316,
S045-A77,MONO D21 SSEA4+ Tra1-60- 5,Unknown,1,TCL1A,Test,999,0,Fail,0.00740197595583316,
S045-A76,MONO D21 SSEA4+ Tra1-60- 5,Unknown,1,GREM1,Test,23.368597574125,0.956016907178978,Pass,0.00740197595583316,
S045-A75,MONO D21 SSEA4+ Tra1-60- 5,Unknown,1,COL3A1,Test,17.2704656853487,1,Pass,0.00740197595583316,
S045-A74,MONO D21 SSEA4+ Tra1-60- 5,Unknown,1,JMJD2B,Test,999,0,Fail,0.00740197595583316,
S045-A73,MONO D21 SSEA4+ Tra1-60- 5,Unknown,1,PRDM14,Test,999,0,Fail,0.00740197595583316,
S045-A84,MONO D21 SSEA4+ Tra1-60- 5,Unknown,1,STEMCCA-P2A,Test,21.2932624217539,1,Pass,0.00740197595583316,
S045-A83,MONO D21 SSEA4+ Tra1-60- 5,Unknown,1,CCND1,Test,24.5369041160145,1,Pass,0.00740197595583316,
S045-A82,MONO D21 SSEA4+ Tra1-60- 5,Unknown,1,OTX2,Test,999,0,Fail,0.00740197595583316,
S045-A81,MONO D21 SSEA4+ Tra1-60- 5,Unknown,1,STAT3,Test,24.2451366194522,1,Pass,0.00740197595583316,
S045-A80,MONO D21 SSEA4+ Tra1-60- 5,Unknown,1,LRRN1,Test,999,0,Fail,0.00740197595583316,
S045-A79,MONO D21 SSEA4+ Tra1-60- 5,Unknown,1,APOE,Test,999,0,Fail,0.00740197595583316,
S045-A90,MONO D21 SSEA4+ Tra1-60- 5,Unknown,1,KDR,Test,999,0,Fail,0.00740197595583316,
S045-A89,MONO D21 SSEA4+ Tra1-60- 5,Unknown,1,MASP1,Test,22.8508736954352,1,Pass,0.00740197595583316,
S045-A88,MONO D21 SSEA4+ Tra1-60- 5,Unknown,1,Eomes,Test,999,0,Fail,0.00740197595583316,
S045-A87,MONO D21 SSEA4+ Tra1-60- 5,Unknown,1,TDGF1,Test,999,0,Fail,0.00740197595583316,
S045-A86,MONO D21 SSEA4+ Tra1-60- 5,Unknown,1,KAT7 (Myst),Test,25.6644089405178,0.887229198337137,Pass,0.00740197595583316,
S045-A85,MONO D21 SSEA4+ Tra1-60- 5,Unknown,1,TET2,Test,24.5389657350275,1,Pass,0.00740197595583316,
S045-A96,MONO D21 SSEA4+ Tra1-60- 5,Unknown,1,GAPDH,Test,18.7173292206809,1,Pass,0.00740197595583316,
S045-A95,MONO D21 SSEA4+ Tra1-60- 5,Unknown,1,POU5F1,Test,999,0,Fail,0.00740197595583316,
S045-A94,MONO D21 SSEA4+ Tra1-60- 5,Unknown,1,LIN28A,Test,999,0,Fail,0.00740197595583316,
S045-A93,MONO D21 SSEA4+ Tra1-60- 5,Unknown,1,ZIC3,Test,26.6310190649151,0.677147342291423,Pass,0.00740197595583316,
S045-A92,MONO D21 SSEA4+ Tra1-60- 5,Unknown,1,NANOG,Test,999,0,Fail,0.00740197595583316,
S045-A91,MONO D21 SSEA4+ Tra1-60- 5,Unknown,1,GDF3,Test,999,0,Fail,0.00740197595583316,
S050-A01,MONO D4 SSEA4+ Tra1-60- 13,Unknown,1,TET1,Test,999,0,Fail,0.00740197595583316,
S050-A02,MONO D4 SSEA4+ Tra1-60- 13,Unknown,1,PHC1,Test,999,0,Fail,0.00740197595583316,
S050-A03,MONO D4 SSEA4+ Tra1-60- 13,Unknown,1,MBD3,Test,999,0,Fail,0.00740197595583316,
S050-A04,MONO D4 SSEA4+ Tra1-60- 13,Unknown,1,SNAI2,Test,19.1859966209403,0.989976611339853,Pass,0.00740197595583316,
S050-A05,MONO D4 SSEA4+ Tra1-60- 13,Unknown,1,FOXD1,Test,999,0,Fail,0.00740197595583316,
S050-A06,MONO D4 SSEA4+ Tra1-60- 13,Unknown,1,FOSB,Test,999,0,Fail,0.00740197595583316,
S050-A07,MONO D4 SSEA4+ Tra1-60- 13,Unknown,1,CD44,Test,11.9691868691845,1,Pass,0.00740197595583316,
S050-A08,MONO D4 SSEA4+ Tra1-60- 13,Unknown,1,GABRB3,Test,999,0,Fail,0.00740197595583316,
S050-A09,MONO D4 SSEA4+ Tra1-60- 13,Unknown,1,SOX2,Test,999,0,Fail,0.00740197595583316,
S050-A10,MONO D4 SSEA4+ Tra1-60- 13,Unknown,1,ZNF281,Test,16.2117980630355,0.9444370579029,Pass,0.00740197595583316,
S050-A11,MONO D4 SSEA4+ Tra1-60- 13,Unknown,1,SP1,Test,999,0,Fail,0.00740197595583316,
S050-A12,MONO D4 SSEA4+ Tra1-60- 13,Unknown,1,LEFTY1,Test,999,0,Fail,0.00740197595583316,
S050-A13,MONO D4 SSEA4+ Tra1-60- 13,Unknown,1,SET,Test,17.9179698845519,1,Pass,0.00740197595583316,
S050-A14,MONO D4 SSEA4+ Tra1-60- 13,Unknown,1,CBX7,Test,999,0,Fail,0.00740197595583316,
S050-A15,MONO D4 SSEA4+ Tra1-60- 13,Unknown,1,UTF1,Test,999,0,Fail,0.00740197595583316,
S050-A16,MONO D4 SSEA4+ Tra1-60- 13,Unknown,1,CDH2 (NCAD),Test,16.1612573231019,1,Pass,0.00740197595583316,
S050-A17,MONO D4 SSEA4+ Tra1-60- 13,Unknown,1,HNF4A,Test,999,0,Fail,0.00740197595583316,
S050-A18,MONO D4 SSEA4+ Tra1-60- 13,Unknown,1,TGFBR2,Test,15.3605677765346,0.993549784018207,Pass,0.00740197595583316,
S050-A19,MONO D4 SSEA4+ Tra1-60- 13,Unknown,1,DUSP10,Test,999,0,Fail,0.00740197595583316,
S050-A20,MONO D4 SSEA4+ Tra1-60- 13,Unknown,1,ESRRB,Test,999,0,Fail,0.00740197595583316,
S050-A21,MONO D4 SSEA4+ Tra1-60- 13,Unknown,1,MYC,Test,20.4308693017799,0.38700667379663,Pass,0.00740197595583316,
S050-A22,MONO D4 SSEA4+ Tra1-60- 13,Unknown,1,ZFP42 (REX1),Test,999,0,Fail,0.00740197595583316,
S050-A23,MONO D4 SSEA4+ Tra1-60- 13,Unknown,1,TRIM28,Test,19.3792482034772,0.917299022478692,Pass,0.00740197595583316,
S050-A24,MONO D4 SSEA4+ Tra1-60- 13,Unknown,1,CD48,Test,999,0,Fail,0.00740197595583316,
S050-A25,MONO D4 SSEA4+ Tra1-60- 13,Unknown,1,CDKN1A,Test,12.0193074021409,0.777821731158741,Pass,0.00740197595583316,
S050-A26,MONO D4 SSEA4+ Tra1-60- 13,Unknown,1,JMJD3,Test,999,0,Fail,0.00740197595583316,
S050-A27,MONO D4 SSEA4+ Tra1-60- 13,Unknown,1,RNF2,Test,15.5728994017045,1,Pass,0.00740197595583316,
S050-A28,MONO D4 SSEA4+ Tra1-60- 13,Unknown,1,LATS2,Test,15.271850088049,0.836083933760632,Pass,0.00740197595583316,
S050-A29,MONO D4 SSEA4+ Tra1-60- 13,Unknown,1,T,Test,999,0,Fail,0.00740197595583316,
S050-A30,MONO D4 SSEA4+ Tra1-60- 13,Unknown,1,FGF2,Test,13.735710680536,0.987011718776538,Pass,0.00740197595583316,
S050-A31,MONO D4 SSEA4+ Tra1-60- 13,Unknown,1,LCK,Test,999,0,Fail,0.00740197595583316,
S050-A32,MONO D4 SSEA4+ Tra1-60- 13,Unknown,1,KLF5,Test,999,0,Fail,0.00740197595583316,
S050-A33,MONO D4 SSEA4+ Tra1-60- 13,Unknown,1,KLF4,Test,15.5718240852887,1,Pass,0.00740197595583316,
S050-A34,MONO D4 SSEA4+ Tra1-60- 13,Unknown,1,NACC1,Test,26.2746486016648,0.910087521013642,Pass,0.00740197595583316,
S050-A35,MONO D4 SSEA4+ Tra1-60- 13,Unknown,1,FBXO15,Test,999,0,Fail,0.00740197595583316,
S050-A36,MONO D4 SSEA4+ Tra1-60- 13,Unknown,1,CD4,Test,999,0,Fail,0.00740197595583316,
S050-A37,MONO D4 SSEA4+ Tra1-60- 13,Unknown,1,DNMT3L,Test,999,0,Fail,0.00740197595583316,
S050-A38,MONO D4 SSEA4+ Tra1-60- 13,Unknown,1,EZH2,Test,999,0,Fail,0.00740197595583316,
S050-A39,MONO D4 SSEA4+ Tra1-60- 13,Unknown,1,EED,Test,999,0,Fail,0.00740197595583316,
S050-A40,MONO D4 SSEA4+ Tra1-60- 13,Unknown,1,SMARCC2,Test,14.2287436325603,0.673812869795193,Pass,0.00740197595583316,
S050-A41,MONO D4 SSEA4+ Tra1-60- 13,Unknown,1,MyoD1,Test,999,0,Fail,0.00740197595583316,
S050-A42,MONO D4 SSEA4+ Tra1-60- 13,Unknown,1,NODAL,Test,999,0,Fail,0.00740197595583316,
S050-A43,MONO D4 SSEA4+ Tra1-60- 13,Unknown,1,CDH1,Test,15.2285021747247,0.97278790719368,Pass,0.00740197595583316,
S050-A44,MONO D4 SSEA4+ Tra1-60- 13,Unknown,1,DPPA4,Test,999,0,Fail,0.00740197595583316,
S050-A45,MONO D4 SSEA4+ Tra1-60- 13,Unknown,1,LEFTY2,Test,21.8911852408866,0.875947954107055,Pass,0.00740197595583316,
S050-A46,MONO D4 SSEA4+ Tra1-60- 13,Unknown,1,RIF1,Test,999,0,Fail,0.00740197595583316,
S050-A47,MONO D4 SSEA4+ Tra1-60- 13,Unknown,1,ETV5,Test,999,0,Fail,0.00740197595583316,
S050-A48,MONO D4 SSEA4+ Tra1-60- 13,Unknown,1,CD3D,Test,999,0,Fail,0.00740197595583316,
S050-A54,MONO D4 SSEA4+ Tra1-60- 13,Unknown,1,Wnt3,Test,999,0,Fail,0.00740197595583316,
S050-A53,MONO D4 SSEA4+ Tra1-60- 13,Unknown,1,Sox1,Test,22.5765274528224,0.636009523485815,Pass,0.00740197595583316,
S050-A52,MONO D4 SSEA4+ Tra1-60- 13,Unknown,1,LOX,Test,11.6367557358682,1,Pass,0.00740197595583316,
S050-A51,MONO D4 SSEA4+ Tra1-60- 13,Unknown,1,JARID2,Test,999,0,Fail,0.00740197595583316,
S050-A50,MONO D4 SSEA4+ Tra1-60- 13,Unknown,1,KDM5A,Test,999,0,Fail,0.00740197595583316,
S050-A49,MONO D4 SSEA4+ Tra1-60- 13,Unknown,1,DNMT3B,Test,999,0,Fail,0.00740197595583316,
S050-A60,MONO D4 SSEA4+ Tra1-60- 13,Unknown,1,PTPN6,Test,999,0,Fail,0.00740197595583316,
S050-A59,MONO D4 SSEA4+ Tra1-60- 13,Unknown,1,TCF3,Test,999,0,Fail,0.00740197595583316,
S050-A58,MONO D4 SSEA4+ Tra1-60- 13,Unknown,1,NR0B1(DAX1),Test,999,0,Fail,0.00740197595583316,
S050-A57,MONO D4 SSEA4+ Tra1-60- 13,Unknown,1,SALL1,Test,999,0,Fail,0.00740197595583316,
S050-A56,MONO D4 SSEA4+ Tra1-60- 13,Unknown,1,DPPA2,Test,999,0,Fail,0.00740197595583316,
S050-A55,MONO D4 SSEA4+ Tra1-60- 13,Unknown,1,Gata6,Test,999,0,Fail,0.00740197595583316,
S050-A66,MONO D4 SSEA4+ Tra1-60- 13,Unknown,1,SMAD4,Test,15.9326066493268,1,Pass,0.00740197595583316,
S050-A65,MONO D4 SSEA4+ Tra1-60- 13,Unknown,1,SOX13,Test,999,0,Fail,0.00740197595583316,
S050-A64,MONO D4 SSEA4+ Tra1-60- 13,Unknown,1,LUM,Test,13.9973940423269,0.929059203605799,Pass,0.00740197595583316,
S050-A63,MONO D4 SSEA4+ Tra1-60- 13,Unknown,1,HDAC2,Test,17.6203785659034,0.916758452265047,Pass,0.00740197595583316,
S050-A62,MONO D4 SSEA4+ Tra1-60- 13,Unknown,1,SETD1A,Test,17.0203975904822,0.973296956975098,Pass,0.00740197595583316,
S050-A61,MONO D4 SSEA4+ Tra1-60- 13,Unknown,1,USP16,Test,18.3614545008138,0.80284430821182,Pass,0.00740197595583316,
S050-A72,MONO D4 SSEA4+ Tra1-60- 13,Unknown,1,CCR7,Test,999,0,Fail,0.00740197595583316,
S050-A71,MONO D4 SSEA4+ Tra1-60- 13,Unknown,1,HESX1,Test,999,0,Fail,0.00740197595583316,
S050-A70,MONO D4 SSEA4+ Tra1-60- 13,Unknown,1,REST,Test,999,0,Fail,0.00740197595583316,
S050-A69,MONO D4 SSEA4+ Tra1-60- 13,Unknown,1,SALL4,Test,999,0,Fail,0.00740197595583316,
S050-A68,MONO D4 SSEA4+ Tra1-60- 13,Unknown,1,GAL,Test,999,0,Fail,0.00740197595583316,
S050-A67,MONO D4 SSEA4+ Tra1-60- 13,Unknown,1,SEMA6A,Test,999,0,Fail,0.00740197595583316,
S050-A78,MONO D4 SSEA4+ Tra1-60- 13,Unknown,1,DVL2,Test,19.9215418549585,0.943845406216642,Pass,0.00740197595583316,
S050-A77,MONO D4 SSEA4+ Tra1-60- 13,Unknown,1,TCL1A,Test,999,0,Fail,0.00740197595583316,
S050-A76,MONO D4 SSEA4+ Tra1-60- 13,Unknown,1,GREM1,Test,17.8252909953317,1,Pass,0.00740197595583316,
S050-A75,MONO D4 SSEA4+ Tra1-60- 13,Unknown,1,COL3A1,Test,9.03999095849494,0.973391417447177,Pass,0.00740197595583316,
S050-A74,MONO D4 SSEA4+ Tra1-60- 13,Unknown,1,JMJD2B,Test,999,0,Fail,0.00740197595583316,
S050-A73,MONO D4 SSEA4+ Tra1-60- 13,Unknown,1,PRDM14,Test,999,0,Fail,0.00740197595583316,
S050-A84,MONO D4 SSEA4+ Tra1-60- 13,Unknown,1,STEMCCA-P2A,Test,999,0,Fail,0.00740197595583316,
S050-A83,MONO D4 SSEA4+ Tra1-60- 13,Unknown,1,CCND1,Test,18.4728551287019,0.922209866664469,Pass,0.00740197595583316,
S050-A82,MONO D4 SSEA4+ Tra1-60- 13,Unknown,1,OTX2,Test,999,0,Fail,0.00740197595583316,
S050-A81,MONO D4 SSEA4+ Tra1-60- 13,Unknown,1,STAT3,Test,16.7758307220929,1,Pass,0.00740197595583316,
S050-A80,MONO D4 SSEA4+ Tra1-60- 13,Unknown,1,LRRN1,Test,999,0,Fail,0.00740197595583316,
S050-A79,MONO D4 SSEA4+ Tra1-60- 13,Unknown,1,APOE,Test,999,0,Fail,0.00740197595583316,
S050-A90,MONO D4 SSEA4+ Tra1-60- 13,Unknown,1,KDR,Test,999,0,Fail,0.00740197595583316,
S050-A89,MONO D4 SSEA4+ Tra1-60- 13,Unknown,1,MASP1,Test,16.4789881342818,1,Pass,0.00740197595583316,
S050-A88,MONO D4 SSEA4+ Tra1-60- 13,Unknown,1,Eomes,Test,999,0,Fail,0.00740197595583316,
S050-A87,MONO D4 SSEA4+ Tra1-60- 13,Unknown,1,TDGF1,Test,999,0,Fail,0.00740197595583316,
S050-A86,MONO D4 SSEA4+ Tra1-60- 13,Unknown,1,KAT7 (Myst),Test,999,0,Fail,0.00740197595583316,
S050-A85,MONO D4 SSEA4+ Tra1-60- 13,Unknown,1,TET2,Test,15.71825198034,1,Pass,0.00740197595583316,
S050-A96,MONO D4 SSEA4+ Tra1-60- 13,Unknown,1,GAPDH,Test,12.3318020791702,0.955123830622245,Pass,0.00740197595583316,
S050-A95,MONO D4 SSEA4+ Tra1-60- 13,Unknown,1,POU5F1,Test,999,0,Fail,0.00740197595583316,
S050-A94,MONO D4 SSEA4+ Tra1-60- 13,Unknown,1,LIN28A,Test,999,0,Fail,0.00740197595583316,
S050-A93,MONO D4 SSEA4+ Tra1-60- 13,Unknown,1,ZIC3,Test,24.8125862979055,0.487728721477548,Pass,0.00740197595583316,
S050-A92,MONO D4 SSEA4+ Tra1-60- 13,Unknown,1,NANOG,Test,999,0,Fail,0.00740197595583316,
S050-A91,MONO D4 SSEA4+ Tra1-60- 13,Unknown,1,GDF3,Test,999,0,Fail,0.00740197595583316,
S044-A01,MONO D14 SSEA4+ Tra1-60- 12,Unknown,1,TET1,Test,999,0,Fail,0.00740197595583316,
S044-A02,MONO D14 SSEA4+ Tra1-60- 12,Unknown,1,PHC1,Test,999,0,Fail,0.00740197595583316,
S044-A03,MONO D14 SSEA4+ Tra1-60- 12,Unknown,1,MBD3,Test,999,0,Fail,0.00740197595583316,
S044-A04,MONO D14 SSEA4+ Tra1-60- 12,Unknown,1,SNAI2,Test,23.2178415829489,1,Pass,0.00740197595583316,
S044-A05,MONO D14 SSEA4+ Tra1-60- 12,Unknown,1,FOXD1,Test,22.2898924063777,1,Pass,0.00740197595583316,
S044-A06,MONO D14 SSEA4+ Tra1-60- 12,Unknown,1,FOSB,Test,999,0,Fail,0.00740197595583316,
S044-A07,MONO D14 SSEA4+ Tra1-60- 12,Unknown,1,CD44,Test,19.9171675749287,1,Pass,0.00740197595583316,
S044-A08,MONO D14 SSEA4+ Tra1-60- 12,Unknown,1,GABRB3,Test,999,0,Fail,0.00740197595583316,
S044-A09,MONO D14 SSEA4+ Tra1-60- 12,Unknown,1,SOX2,Test,999,0,Fail,0.00740197595583316,
S044-A10,MONO D14 SSEA4+ Tra1-60- 12,Unknown,1,ZNF281,Test,24.8477237187627,1,Pass,0.00740197595583316,
S044-A11,MONO D14 SSEA4+ Tra1-60- 12,Unknown,1,SP1,Test,24.8534753751214,1,Pass,0.00740197595583316,
S044-A12,MONO D14 SSEA4+ Tra1-60- 12,Unknown,1,LEFTY1,Test,999,0,Fail,0.00740197595583316,
S044-A13,MONO D14 SSEA4+ Tra1-60- 12,Unknown,1,SET,Test,22.8075798367052,1,Pass,0.00740197595583316,
S044-A14,MONO D14 SSEA4+ Tra1-60- 12,Unknown,1,CBX7,Test,999,0,Fail,0.00740197595583316,
S044-A15,MONO D14 SSEA4+ Tra1-60- 12,Unknown,1,UTF1,Test,999,0,Fail,0.00740197595583316,
S044-A16,MONO D14 SSEA4+ Tra1-60- 12,Unknown,1,CDH2 (NCAD),Test,999,0,Fail,0.00740197595583316,
S044-A17,MONO D14 SSEA4+ Tra1-60- 12,Unknown,1,HNF4A,Test,999,0,Fail,0.00740197595583316,
S044-A18,MONO D14 SSEA4+ Tra1-60- 12,Unknown,1,TGFBR2,Test,22.2164123557581,0.946180015018598,Pass,0.00740197595583316,
S044-A19,MONO D14 SSEA4+ Tra1-60- 12,Unknown,1,DUSP10,Test,999,0,Fail,0.00740197595583316,
S044-A20,MONO D14 SSEA4+ Tra1-60- 12,Unknown,1,ESRRB,Test,999,0,Fail,0.00740197595583316,
S044-A21,MONO D14 SSEA4+ Tra1-60- 12,Unknown,1,MYC,Test,22.3711311720637,0.446515616265234,Pass,0.00740197595583316,
S044-A22,MONO D14 SSEA4+ Tra1-60- 12,Unknown,1,ZFP42 (REX1),Test,999,0,Fail,0.00740197595583316,
S044-A23,MONO D14 SSEA4+ Tra1-60- 12,Unknown,1,TRIM28,Test,25.1410191004318,0.952243273748211,Pass,0.00740197595583316,
S044-A24,MONO D14 SSEA4+ Tra1-60- 12,Unknown,1,CD48,Test,999,0,Fail,0.00740197595583316,
S044-A25,MONO D14 SSEA4+ Tra1-60- 12,Unknown,1,CDKN1A,Test,19.5888473752984,1,Pass,0.00740197595583316,
S044-A26,MONO D14 SSEA4+ Tra1-60- 12,Unknown,1,JMJD3,Test,999,0,Fail,0.00740197595583316,
S044-A27,MONO D14 SSEA4+ Tra1-60- 12,Unknown,1,RNF2,Test,24.0668278594775,1,Pass,0.00740197595583316,
S044-A28,MONO D14 SSEA4+ Tra1-60- 12,Unknown,1,LATS2,Test,25.5885520758278,0.964216523515915,Pass,0.00740197595583316,
S044-A29,MONO D14 SSEA4+ Tra1-60- 12,Unknown,1,T,Test,999,0,Fail,0.00740197595583316,
S044-A30,MONO D14 SSEA4+ Tra1-60- 12,Unknown,1,FGF2,Test,24.6515121449186,1,Pass,0.00740197595583316,
S044-A31,MONO D14 SSEA4+ Tra1-60- 12,Unknown,1,LCK,Test,999,0,Fail,0.00740197595583316,
S044-A32,MONO D14 SSEA4+ Tra1-60- 12,Unknown,1,KLF5,Test,999,0,Fail,0.00740197595583316,
S044-A33,MONO D14 SSEA4+ Tra1-60- 12,Unknown,1,KLF4,Test,22.7454386302597,0.979584476167537,Pass,0.00740197595583316,
S044-A34,MONO D14 SSEA4+ Tra1-60- 12,Unknown,1,NACC1,Test,25.5199480378246,1,Pass,0.00740197595583316,
S044-A35,MONO D14 SSEA4+ Tra1-60- 12,Unknown,1,FBXO15,Test,999,0,Fail,0.00740197595583316,
S044-A36,MONO D14 SSEA4+ Tra1-60- 12,Unknown,1,CD4,Test,999,0,Fail,0.00740197595583316,
S044-A37,MONO D14 SSEA4+ Tra1-60- 12,Unknown,1,DNMT3L,Test,999,0,Fail,0.00740197595583316,
S044-A38,MONO D14 SSEA4+ Tra1-60- 12,Unknown,1,EZH2,Test,999,0,Fail,0.00740197595583316,
S044-A39,MONO D14 SSEA4+ Tra1-60- 12,Unknown,1,EED,Test,999,0,Fail,0.00740197595583316,
S044-A40,MONO D14 SSEA4+ Tra1-60- 12,Unknown,1,SMARCC2,Test,21.143531707138,0.724452874635797,Pass,0.00740197595583316,
S044-A41,MONO D14 SSEA4+ Tra1-60- 12,Unknown,1,MyoD1,Test,999,0,Fail,0.00740197595583316,
S044-A42,MONO D14 SSEA4+ Tra1-60- 12,Unknown,1,NODAL,Test,999,0,Fail,0.00740197595583316,
S044-A43,MONO D14 SSEA4+ Tra1-60- 12,Unknown,1,CDH1,Test,20.6066898887458,0.995303135514901,Pass,0.00740197595583316,
S044-A44,MONO D14 SSEA4+ Tra1-60- 12,Unknown,1,DPPA4,Test,999,0,Fail,0.00740197595583316,
S044-A45,MONO D14 SSEA4+ Tra1-60- 12,Unknown,1,LEFTY2,Test,999,0,Fail,0.00740197595583316,
S044-A46,MONO D14 SSEA4+ Tra1-60- 12,Unknown,1,RIF1,Test,999,0,Fail,0.00740197595583316,
S044-A47,MONO D14 SSEA4+ Tra1-60- 12,Unknown,1,ETV5,Test,25.2208621160928,0.808529206122907,Pass,0.00740197595583316,
S044-A48,MONO D14 SSEA4+ Tra1-60- 12,Unknown,1,CD3D,Test,999,0,Fail,0.00740197595583316,
S044-A54,MONO D14 SSEA4+ Tra1-60- 12,Unknown,1,Wnt3,Test,999,0,Fail,0.00740197595583316,
S044-A53,MONO D14 SSEA4+ Tra1-60- 12,Unknown,1,Sox1,Test,999,0,Fail,0.00740197595583316,
S044-A52,MONO D14 SSEA4+ Tra1-60- 12,Unknown,1,LOX,Test,20.5095057706254,0.993614767621491,Pass,0.00740197595583316,
S044-A51,MONO D14 SSEA4+ Tra1-60- 12,Unknown,1,JARID2,Test,22.5388788027209,1,Pass,0.00740197595583316,
S044-A50,MONO D14 SSEA4+ Tra1-60- 12,Unknown,1,KDM5A,Test,24.8029355398786,1,Pass,0.00740197595583316,
S044-A49,MONO D14 SSEA4+ Tra1-60- 12,Unknown,1,DNMT3B,Test,24.519666901648,1,Pass,0.00740197595583316,
S044-A60,MONO D14 SSEA4+ Tra1-60- 12,Unknown,1,PTPN6,Test,999,0,Fail,0.00740197595583316,
S044-A59,MONO D14 SSEA4+ Tra1-60- 12,Unknown,1,TCF3,Test,999,0,Fail,0.00740197595583316,
S044-A58,MONO D14 SSEA4+ Tra1-60- 12,Unknown,1,NR0B1(DAX1),Test,999,0,Fail,0.00740197595583316,
S044-A57,MONO D14 SSEA4+ Tra1-60- 12,Unknown,1,SALL1,Test,22.0015275238571,0.950625240208058,Pass,0.00740197595583316,
S044-A56,MONO D14 SSEA4+ Tra1-60- 12,Unknown,1,DPPA2,Test,999,0,Fail,0.00740197595583316,
S044-A55,MONO D14 SSEA4+ Tra1-60- 12,Unknown,1,Gata6,Test,999,0,Fail,0.00740197595583316,
S044-A66,MONO D14 SSEA4+ Tra1-60- 12,Unknown,1,SMAD4,Test,23.06820403027,0.982069562847928,Pass,0.00740197595583316,
S044-A65,MONO D14 SSEA4+ Tra1-60- 12,Unknown,1,SOX13,Test,999,0,Fail,0.00740197595583316,
S044-A64,MONO D14 SSEA4+ Tra1-60- 12,Unknown,1,LUM,Test,19.4228127905824,0.891463154413214,Pass,0.00740197595583316,
S044-A63,MONO D14 SSEA4+ Tra1-60- 12,Unknown,1,HDAC2,Test,999,0,Fail,0.00740197595583316,
